,station_code,station_name,line_num,
역코드,1874,오목천,수인분당선,호선
역코드,1875,어천,수인분당선,호선
역코드,1876,야목,수인분당선,호선
역코드,1877,사리,수인분당선,호선
역코드,1878,달월,수인분당선,호선
역코드,1879,월곶,수인분당선,호선
역코드,1880,소래포구,수인분당선,호선
역코드,1881,인천논현,수인분당선,호선
역코드,1882,호구포,수인분당선,호선
역코드,1883,남동인더스파크,수인분당선,호선
역코드,1884,원인재,수인분당선,호선
역코드,1885,연수,수인분당선,호선
역코드,1886,송도,수인분당선,호선
역코드,1888,인하대,수인분당선,호선
역코드,1889,숭의,수인분당선,호선
역코드,1890,신포,수인분당선,호선
역코드,1891,인천,수인분당선,호선
역코드,1901,방학,1,호선
역코드,1902,도봉,1,호선
역코드,1903,도봉산,1,호선
역코드,1904,망월사,1,호선
역코드,1905,회룡,1,호선
역코드,1906,의정부,1,호선
역코드,1907,가능,1,호선
역코드,1908,녹양,1,호선
역코드,1909,양주,1,호선
역코드,1910,덕계,1,호선
역코드,1911,덕정,1,호선
역코드,1912,지행,1,호선
역코드,1913,동두천중앙,1,호선
역코드,1914,보산,1,호선
역코드,1915,동두천,1,호선
역코드,1916,소요산,1,호선
역코드,1948,원흥,3,호선
역코드,1950,삼송,3,호선
역코드,1951,원당,3,호선
역코드,1952,화정,3,호선
역코드,1953,대곡,3,호선
역코드,1954,백석,3,호선
역코드,1955,마두,3,호선
역코드,1956,정발산,3,호선
역코드,1957,주엽,3,호선
역코드,1958,대화,3,호선
역코드,2511,방화,5,호선
역코드,2512,개화산,5,호선
역코드,2513,김포공항,5,호선
역코드,2514,송정,5,호선
역코드,2515,마곡,5,호선
역코드,2516,발산,5,호선
역코드,2517,우장산,5,호선
역코드,2518,화곡,5,호선
역코드,2519,까치산,5,호선
역코드,2520,신정,5,호선
역코드,2521,목동,5,호선
역코드,2522,오목교,5,호선
역코드,2523,양평,5,호선
역코드,2524,영등포구청,5,호선
역코드,2525,영등포시장,5,호선
역코드,2526,신길,5,호선
역코드,2527,여의도,5,호선
역코드,2528,여의나루,5,호선
역코드,2529,마포,5,호선
역코드,2530,공덕,5,호선
역코드,2531,애오개,5,호선
역코드,2532,충정로,5,호선
역코드,2533,서대문,5,호선
역코드,2534,광화문,5,호선
역코드,2535,종로3가,5,호선
역코드,2536,을지로4가,5,호선
역코드,2537,동대문역사문화공원,5,호선
역코드,2538,청구,5,호선
역코드,2539,신금호,5,호선
역코드,2540,행당,5,호선
역코드,2541,왕십리,5,호선
역코드,2542,마장,5,호선
역코드,2543,답십리,5,호선
역코드,2544,장한평,5,호선
역코드,2545,군자,5,호선
역코드,2546,아차산,5,호선
역코드,2547,광나루,5,호선
역코드,2548,천호,5,호선
역코드,2549,강동,5,호선
역코드,2550,길동,5,호선
역코드,2551,굽은다리,5,호선
역코드,2552,명일,5,호선
역코드,2553,고덕,5,호선
역코드,2554,상일동,5,호선
역코드,2555,둔촌동,5,호선
역코드,2556,올림픽공원,5,호선
역코드,2557,방이,5,호선
역코드,2558,오금,5,호선
역코드,2559,개롱,5,호선
역코드,2560,거여,5,호선
역코드,2561,마천,5,호선
역코드,2562,강일,5,호선
역코드,2563,미사,5,호선
역코드,2564,하남풍산,5,호선
역코드,2565,하남시청,5,호선
역코드,2566,하남검단산,5,호선
역코드,2611,응암,6,호선
역코드,2612,역촌,6,호선
역코드,2613,불광,6,호선
역코드,2614,독바위,6,호선
역코드,2615,연신내,6,호선
역코드,2616,구산,6,호선
역코드,2617,새절,6,호선
역코드,2618,증산,6,호선
역코드,2619,디지털미디어시티,6,호선
역코드,2620,월드컵경기장,6,호선
역코드,2621,마포구청,6,호선
역코드,2622,망원,6,호선
역코드,2623,합정,6,호선
역코드,2624,상수,6,호선
역코드,2625,광흥창,6,호선
역코드,2626,대흥,6,호선
역코드,2627,공덕,6,호선
역코드,2628,효창공원앞,6,호선
역코드,2629,삼각지,6,호선
역코드,2630,녹사평,6,호선
역코드,2631,이태원,6,호선
역코드,2632,한강진,6,호선
역코드,2633,버티고개,6,호선
역코드,2634,약수,6,호선
역코드,2635,청구,6,호선
역코드,2636,신당,6,호선
역코드,2637,동묘앞,6,호선
역코드,2638,창신,6,호선
역코드,2639,보문,6,호선
역코드,2640,안암,6,호선
역코드,2641,고려대,6,호선
역코드,2642,월곡,6,호선
역코드,2643,상월곡,6,호선
역코드,2644,돌곶이,6,호선
역코드,2645,석계,6,호선
역코드,2646,태릉입구,6,호선
역코드,2647,화랑대,6,호선
역코드,2648,봉화산,6,호선
역코드,2649,신내,6,호선
역코드,2711,장암,7,호선
역코드,2712,도봉산,7,호선
역코드,2713,수락산,7,호선
역코드,2714,마들,7,호선
역코드,2715,노원,7,호선
역코드,2716,중계,7,호선
역코드,2717,하계,7,호선
역코드,2718,공릉,7,호선
역코드,2719,태릉입구,7,호선
역코드,2720,먹골,7,호선
역코드,2721,중화,7,호선
역코드,2722,상봉,7,호선
역코드,2723,면목,7,호선
역코드,2724,사가정,7,호선
역코드,2725,용마산,7,호선
역코드,2726,중곡,7,호선
역코드,2727,군자,7,호선
역코드,2728,어린이대공원,7,호선
역코드,2729,건대입구,7,호선
역코드,2730,뚝섬유원지,7,호선
역코드,2731,청담,7,호선
역코드,2732,강남구청,7,호선
역코드,2733,학동,7,호선
역코드,2734,논현,7,호선
역코드,2735,반포,7,호선
역코드,2736,고속터미널,7,호선
역코드,2737,내방,7,호선
역코드,2738,이수,7,호선
역코드,2739,남성,7,호선
역코드,2740,숭실대입구,7,호선
역코드,2741,상도,7,호선
역코드,2742,장승배기,7,호선
역코드,2743,신대방삼거리,7,호선
역코드,2744,보라매,7,호선
역코드,2745,신풍,7,호선
역코드,2746,대림,7,호선
역코드,2747,남구로,7,호선
역코드,2748,가산디지털단지,7,호선
역코드,2749,철산,7,호선
역코드,2750,광명사거리,7,호선
역코드,2751,천왕,7,호선
역코드,2752,온수,7,호선
역코드,2753,까치울,7,호선
역코드,2754,부천종합운동장,7,호선
역코드,2755,춘의,7,호선
역코드,2756,신중동,7,호선
역코드,2757,부천시청,7,호선
역코드,2758,상동,7,호선
역코드,2759,삼산체육관,7,호선
역코드,2760,굴포천,7,호선
역코드,2761,부평구청,7,호선
역코드,2811,암사,8,호선
역코드,2812,천호,8,호선
역코드,2813,강동구청,8,호선
역코드,2814,몽촌토성,8,호선
역코드,2815,잠실,8,호선
역코드,2816,석촌,8,호선
역코드,2817,송파,8,호선
역코드,2818,가락시장,8,호선
역코드,2819,문정,8,호선
역코드,2820,장지,8,호선
역코드,2821,복정,8,호선
역코드,2822,산성,8,호선
역코드,2823,남한산성입구,8,호선
역코드,2824,단대오거리,8,호선
역코드,2825,신흥,8,호선
역코드,2826,수진,8,호선
역코드,2827,모란,8,호선
역코드,3110,계양,인천1,호선
역코드,3111,귤현,인천1,호선
역코드,3112,박촌,인천1,호선
역코드,3113,임학,인천1,호선
역코드,3114,계산,인천1,호선
역코드,3115,경인교대입구,인천1,호선
역코드,3116,작전,인천1,호선
역코드,3117,갈산,인천1,호선
역코드,3118,부평구청,인천1,호선
역코드,3119,부평시장,인천1,호선
역코드,3120,부평,인천1,호선
역코드,3121,동수,인천1,호선
역코드,3122,부평삼거리,인천1,호선
역코드,3123,간석오거리,인천1,호선
역코드,3124,인천시청,인천1,호선
역코드,3125,예술회관,인천1,호선
역코드,3126,인천터미널,인천1,호선
역코드,3127,문학경기장,인천1,호선
역코드,3128,선학,인천1,호선
역코드,3129,신연수,인천1,호선
역코드,3130,원인재,인천1,호선
역코드,3131,동춘,인천1,호선
역코드,3132,동막,인천1,호선
역코드,3133,캠퍼스타운,인천1,호선
역코드,3134,테크노파크,인천1,호선
역코드,3135,지식정보단지,인천1,호선
역코드,3136,인천대입구,인천1,호선
역코드,3137,센트럴파크,인천1,호선
역코드,3138,국제업무지구,인천1,호선
역코드,3139,송도달빛축제공원,인천1,호선
역코드,3201,검단오류,인천2,호선
역코드,3202,왕길,인천2,호선
역코드,3203,검단사거리,인천2,호선
역코드,3204,마전,인천2,호선
역코드,3205,완정,인천2,호선
역코드,3206,독정,인천2,호선
역코드,3207,검암,인천2,호선
역코드,3208,검바위,인천2,호선
역코드,3209,아시아드경기장,인천2,호선
역코드,3210,서구청,인천2,호선
